Real time ,Mid-span strain
17:01:09,124
17:01:10,130
17:01:11,135
17:01:12,137
17:01:13,133
17:01:14,134
17:01:15,142
17:01:16,138
17:01:17,143
17:01:18,140
17:01:19,146
17:01:20,145
17:01:21,149
17:01:22,153
17:01:23,154
17:01:24,153
17:01:25,154
17:01:26,151
17:01:27,156
17:01:28,157
17:01:29,165
17:01:30,161
17:01:31,166
17:01:32,167
17:01:33,170
17:01:34,171
17:01:35,176
17:01:36,184
17:01:37,186
17:01:38,188
17:01:39,193
17:01:40,192
17:01:41,197
17:01:42,203
17:01:43,202
17:01:44,207
17:01:45,211
17:01:46,217
17:01:47,222
17:01:48,220
17:01:49,226
17:01:50,235
17:01:51,248
17:01:52,250
17:01:53,253
17:01:54,264
17:01:55,264
17:01:56,275
17:01:57,283
17:01:58,285
17:01:59,290
17:02:00,292
17:02:01,308
17:02:02,313
17:02:03,316
17:02:04,329
17:02:05,331
17:02:06,350
17:02:07,387
17:02:08,429
17:02:09,492
17:02:10,548
17:02:11,600
17:02:12,637
17:02:13,658
17:02:14,683
17:02:15,709
17:02:16,739
17:02:17,760
17:02:18,786
17:02:19,802
17:02:20,836
17:02:21,851
17:02:22,876
17:02:23,905
17:02:24,927
17:02:25,946
17:02:26,967
17:02:27,997
17:02:28,1017
17:02:29,1032
17:02:30,1055
17:02:31,1075
17:02:32,1093
17:02:33,1111
17:02:34,1129
17:02:35,1145
17:02:36,1163
17:02:37,1182
17:02:38,1196
17:02:39,1199
17:02:40,1219
17:02:41,1229
17:02:42,1233
17:02:43,1246
17:02:44,1264
17:02:45,1276
17:02:46,1295
17:02:47,1308
17:02:48,1328
17:02:49,1338
17:02:50,1346
17:02:51,1360
17:02:52,1385
17:02:53,1389
17:02:54,1402
17:02:55,1416
17:02:56,1426
17:02:57,1435
17:02:58,1443
17:02:59,1475
17:03:00,1483
17:03:01,1491
17:03:02,1503
17:03:03,1502
17:03:04,1524
17:03:05,1524
17:03:06,1522
17:03:07,1533
17:03:08,1544
17:03:09,1556
17:03:10,1568
17:03:11,1567
17:03:12,1578
17:03:13,1586
17:03:14,1585
17:03:15,1586
17:03:16,1606
17:03:17,1596
17:03:18,1617
17:03:19,1613
17:03:20,1620
17:03:21,1620
17:03:22,1621
17:03:23,1635
17:03:24,1640
17:03:25,1640
17:03:26,1646
17:03:27,1654
17:03:28,1650
17:03:29,1660
17:03:30,1663
17:03:31,1667
17:03:32,1666
17:03:33,1671
17:03:34,1670
17:03:35,1686
17:03:36,1678
17:03:37,1688
17:03:38,1693
17:03:39,1704
17:03:40,1695
17:03:41,1696
17:03:42,1701
17:03:43,1700
17:03:44,1702
17:03:45,1710
17:03:46,1718
17:03:47,1724
17:03:48,1722
17:03:49,1727
17:03:50,1729
17:03:51,1731
17:03:52,1737
17:03:53,1743
17:03:54,1736
17:03:55,1751
17:03:56,1742
17:03:57,1749
17:03:58,1748
17:03:59,1748
17:04:00,1756
17:04:01,1765
17:04:02,1761
17:04:03,1773
17:04:04,1777
17:04:05,1773
17:04:06,1769
17:04:07,1779
17:04:08,1781
17:04:09,1781
17:04:10,1786
17:04:11,1792
17:04:12,1789
17:04:13,1794
17:04:14,1798
17:04:15,1805
17:04:16,1806
17:04:17,1807
17:04:18,1809
17:04:19,1822
17:04:20,1816
17:04:21,1821
17:04:22,1821
17:04:23,1827
17:04:24,1818
17:04:25,1830
17:04:26,1833
17:04:27,1839
17:04:28,1831
17:04:29,1844
17:04:30,1845
17:04:31,1840
17:04:32,1846
17:04:33,1846
17:04:34,1849
17:04:35,1846
17:04:36,1852
17:04:37,1863
17:04:38,1861
17:04:39,1857
17:04:40,1872
17:04:41,1864
17:04:42,1871
17:04:43,1868
17:04:44,1868
17:04:45,1878
17:04:46,1872
17:04:47,1881
17:04:48,1884
17:04:49,1881
17:04:50,1879
17:04:51,1882
17:04:52,1889
17:04:53,1884
17:04:54,1891
17:04:55,1888
17:04:56,1906
17:04:57,1900
17:04:58,1898
17:04:59,1900
17:05:00,1903
17:05:01,1906
17:05:02,1911
17:05:03,1911
17:05:04,1915
17:05:05,1914
17:05:06,1907
17:05:07,1922
17:05:08,1912
17:05:09,1914
17:05:10,1914
17:05:11,1918
17:05:12,1929
17:05:13,1919
17:05:14,1923
17:05:15,1932
17:05:16,1926
17:05:17,1933
17:05:18,1918
17:05:19,1915
17:05:20,1919
17:05:21,1922
17:05:22,1912
17:05:23,1916
17:05:24,1936
17:05:25,1924
17:05:26,1920
17:05:27,1918
17:05:28,1919
17:05:29,1918
17:05:30,1927
17:05:31,1932
17:05:32,1918
17:05:33,1929
17:05:34,1926
17:05:35,1923
